experiment_id,lab,date_registered,hypothesis_one_line,preregistration_path,status,verdict,closing_doc_path
MICRO-001,microstructure,2026-07-26,"Realistic exit-fill unwind is worse than the clean-fill assumption, concentrated in small-liquidity tiers",labs/microstructure/protocols/MICRO-001_EXIT_FILL_MODEL.md,CLOSED,REJECTED,labs/microstructure/results/MICRO-001/FINDINGS.md
MICRO-002,microstructure,2026-07-26,"Acquire historical institutional ownership 2010-2022, matched to the full tradeable universe",labs/microstructure/protocols/MICRO-002_DATA_ACQUISITION.md,CLOSED,INCONCLUSIVE,labs/microstructure/protocols/MICRO-002_DATA_ACQUISITION.md
ALPHA-001,alpha_engine,2026-07-26,Liquidity-decile IC gradient (res_mom_52w_ex4w) replicates directionally on the fresh 53-week post-lockbox window,labs/alpha_engine/protocols/ALPHA-001_LIQUIDITY_GRADIENT_OOS.md,CLOSED,INCONCLUSIVE,labs/alpha_engine/results/ALPHA-001/FINDINGS.md
MSCI-001,market_science,2026-07-26,Trailing rank-stability of res_mom_52w_ex4w predicts its own forward-13w IC,labs/market_science/protocols/MSCI_001_002_003_PREDICTIVE_ESCALATION.md,CLOSED,INCONCLUSIVE,labs/market_science/results/MSCI-001-002-003/FINDINGS.md
MSCI-002,market_science,2026-07-26,Trailing interaction complexity (consistency_mom_26w x res_mom_52w_ex4w) predicts forward IC decay,labs/market_science/protocols/MSCI_001_002_003_PREDICTIVE_ESCALATION.md,CLOSED,INCONCLUSIVE,labs/market_science/results/MSCI-001-002-003/FINDINGS.md
MSCI-003,market_science,2026-07-26,Trailing momentum-volatility structural redundancy forecasts crowding (lower forward IC),labs/market_science/protocols/MSCI_001_002_003_PREDICTIVE_ESCALATION.md,CLOSED,INCONCLUSIVE,labs/market_science/results/MSCI-001-002-003/FINDINGS.md
ALPHA-002,alpha_engine,2026-07-26,"Delivery incremental IC vs target_1w, non-F&O universe, controlling for ADV-13w liquidity -- do Delivery and the liquidity-decile gradient collapse into one mechanism?",labs/alpha_engine/protocols/ALPHA-002_DELIVERY_LIQUIDITY_OVERLAP.md,CLOSED,INCONCLUSIVE,labs/alpha_engine/results/ALPHA-002/FINDINGS.md
PORT-001,portfolio_engineering,2026-07-26,"Volatility-targeting leverage overlay on Config-4+G-05 (sizing rule, no new signal)",labs/portfolio_engineering/protocols/PORT_001_002_003_FROZEN_BOOK_OVERLAYS.md,CLOSED,VALIDATED,labs/portfolio_engineering/results/PORT-001-002-003/FINDINGS.md
PORT-002,portfolio_engineering,2026-07-26,"Drawdown-triggered de-gross overlay vs the -47.76% documented maxDD (sizing rule, not an options hedge)",labs/portfolio_engineering/protocols/PORT_001_002_003_FROZEN_BOOK_OVERLAYS.md,CLOSED,VALIDATED,labs/portfolio_engineering/results/PORT-001-002-003/FINDINGS.md
PORT-003,portfolio_engineering,2026-07-26,"Execution-schedule refinement (1-day vs 5-day staggered fills) at Rs2500cr, given the 58.5pct->84.1pct slippage-share curve",labs/portfolio_engineering/protocols/PORT_001_002_003_FROZEN_BOOK_OVERLAYS.md,CLOSED,VALIDATED,labs/portfolio_engineering/results/PORT-001-002-003/FINDINGS.md
